Sentence #	Word	Pos	Tag
Sentence 14	hasta	PREP	O
Sentence 14	el	ART	O
Sentence 14	final	NC	O
Sentence 14	de	PREP	O
Sentence 14	la	ART	O
Sentence 14	administración	NC	O
Sentence 14	del	PDEL	O
Sentence 14	Presidente	NC	B-TIT
Sentence 14	de	PREP	I-TIT
Sentence 14	México	NC	E-TIT
Sentence 14	,	CM	O
Sentence 14	escribió	VLfin	O
Sentence 14	Navarrete	NC	S-PER
Sentence 14	en	PREP	O
Sentence 14	Twitter	NC	S-ORG
Sentence 14	hace	VLfin	B-TIM
Sentence 14	5	CARD	I-TIM
Sentence 14	horas	NC	E-TIM
Sentence 14	México	NP	S-GPE
Sentence 14	propone	VLfin	O
Sentence 14	bases	NC	O
Sentence 14	de	PREP	O
Sentence 14	entendimiento	NC	O
Sentence 14	con	PREP	O
Sentence 14	EU	NC	S-GPE
Sentence 14	Marcelo	NP	B-PER
Sentence 14	Ebrard	ADJ	E-PER
Sentence 14	,	CM	O
Sentence 14	virtual	ADJ	O
Sentence 14	secretario	NC	B-TIT
Sentence 14	de	PREP	I-TIT
Sentence 14	Relaciones	NC	I-TIT
Sentence 14	Exteriores	ADJ	E-TIT
Sentence 14	(	LP	O
Sentence 14	SRE	NP	S-ORG
Sentence 14	)	RP	O
Sentence 14	,	CM	O
Sentence 14	aseguró	VLfin	O
Sentence 14	que	CQUE	O
Sentence 14	México	NP	S-GPE
Sentence 14	va	VLfin	O
Sentence 14	encontrar	VLinf	O
Sentence 14	bases	NC	O
Sentence 14	de	PREP	O
Sentence 14	entendimiento	NC	O
Sentence 14	y	CC	O
Sentence 14	respeto	NC	O
Sentence 14	con	PREP	O
Sentence 14	el	ART	O
Sentence 14	gobierno	NC	O
Sentence 14	del	PDEL	O
Sentence 14	Donald	NP	B-PER
Sentence 14	Trump	NC	E-PER
Sentence 14	,	CM	O
Sentence 14	a	PREP	O
Sentence 14	quien	REL	O
Sentence 14	le	PPC	O
Sentence 14	entregaron	VLfin	O
Sentence 14	una	ART	O
Sentence 14	propuesta	NC	O
Sentence 14	para	PREP	O
Sentence 14	la	ART	O
Sentence 14	modernización	NC	O
Sentence 14	del	PDEL	O
Sentence 14	TLCAN	NP	S-DOC
Sentence 14	,	CM	O
Sentence 14	así	VLfin	O
Sentence 14	como	ADV	O
Sentence 14	mejorar	VLinf	O
Sentence 14	seguridad	NC	O
Sentence 14	y	CC	O
Sentence 14	migración	NC	O
Sentence 14	.	FS	O

Sentence 15	AMLO	NC	S-PER
Sentence 15	aclaró	VLfin	O
Sentence 15	,	CM	O
Sentence 15	sin	PREP	O
Sentence 15	embargo	NC	O
Sentence 15	,	CM	O
Sentence 15	que	CQUE	O
Sentence 15	cualquier	QU	O
Sentence 15	acuerdo	NC	O
Sentence 15	con	PREP	O
Sentence 15	Estados	NC	B-GPE
Sentence 15	Unidos	NP	E-GPE
Sentence 15	debe	VMfin	O
Sentence 15	concretarse	VCLIinf	O
Sentence 15	sin	PREP	O
Sentence 15	ceder	VLinf	O
Sentence 15	en	PREP	O
Sentence 15	materia	NC	O
Sentence 15	de	PREP	O
Sentence 15	soberanía	ADJ	O
Sentence 15	,	CM	O
Sentence 15	buscando	VLger	O
Sentence 15	la	ART	O
Sentence 15	cooperación	NC	O
Sentence 15	para	PREP	O
Sentence 15	el	ART	O
Sentence 15	desarrollo	NC	O
Sentence 15	y	CC	O
Sentence 15	el	ART	O
Sentence 15	respetuoso	ADJ	O
Sentence 15	mutuo	ADJ	O
Sentence 15	.	FS	O

Sentence 16	Otro	QU	O
Sentence 16	hecho	NC	O
Sentence 16	lamentable	ADJ	O
Sentence 16	es	VSfin	O
Sentence 16	que	CQUE	O
Sentence 16	la	ART	O
Sentence 16	Auditoría	NP	B-ORG
Sentence 16	Superior	NC	I-ORG
Sentence 16	de	PREP	I-ORG
Sentence 16	la	ART	I-ORG
Sentence 16	Federación	NP	E-ORG
Sentence 16	(	LP	O
Sentence 16	ASF	NC	S-ORG
Sentence 16	)	RP	O
Sentence 16	,	CM	O
Sentence 16	en	PREP	O
Sentence 16	su	PPO	O
Sentence 16	primer	ORD	O
Sentence 16	informe	NC	O
Sentence 16	de	PREP	O
Sentence 16	la	ART	O
Sentence 16	Cuenta	NC	B-PRO
Sentence 16	Pública	NC	I-PRO
Sentence 16	2017	CARD	E-PRO
Sentence 16	,	CM	O
Sentence 16	detectó	VLfin	O
Sentence 16	un	ART	O
Sentence 16	desvío	NC	O
Sentence 16	de	PREP	O
Sentence 16	recursos	NC	O
Sentence 16	al	PAL	O
Sentence 16	interior	NC	O
Sentence 16	de	PREP	O
Sentence 16	la	ART	O
Sentence 16	SSPO	NC	S-ORG
Sentence 16	por	PREP	O
Sentence 16	un	ART	O
Sentence 16	monto	NC	O
Sentence 16	de	PREP	O
Sentence 16	2.6	CARD	B-MNY
Sentence 16	millones	CARD	I-MNY
Sentence 16	de	PREP	I-MNY
Sentence 16	pesos	NC	E-MNY
Sentence 16	,	CM	O
Sentence 16	dinero	NC	O
Sentence 16	correspondiente	ADJ	O
Sentence 16	al	PAL	O
Sentence 16	subsidio	NC	O
Sentence 16	“	NC	O
Sentence 16	Programa	NC	B-PRO
Sentence 16	de	PREP	I-PRO
Sentence 16	Fortalecimiento	NC	I-PRO
Sentence 16	para	PREP	I-PRO
Sentence 16	la	ART	I-PRO
Sentence 16	Seguridad	NC	E-PRO
Sentence 16	”	NC	O
Sentence 16	(	LP	O
Sentence 16	Fortaseg	NC	S-PRO
Sentence 16	)	RP	O
Sentence 16	.	FS	O

Sentence 17	Por	PREP	O
Sentence 17	otro	QU	O
Sentence 17	lado	NC	O
Sentence 17	,	CM	O
Sentence 17	apoyarán	VLfin	O
Sentence 17	todas	QU	O
Sentence 17	las	ART	O
Sentence 17	iniciativas	NC	O
Sentence 17	de	PREP	O
Sentence 17	ley	NC	O
Sentence 17	que	CQUE	O
Sentence 17	prometió	VLfin	O
Sentence 17	el	ART	O
Sentence 17	virtual	ADJ	B-TIT
Sentence 17	presidente	NC	E-TIT
Sentence 17	,	CM	O
Sentence 17	Andrés	NP	B-PER
Sentence 17	Manuel	NP	I-PER
Sentence 17	López	NP	I-PER
Sentence 17	Obrador	NP	E-PER
Sentence 17	,	CM	O
Sentence 17	durante	PREP	O
Sentence 17	su	PPO	O
Sentence 17	gira	NC	O
Sentence 17	de	PREP	O
Sentence 17	campaña	NC	O
Sentence 17	.	FS	O

Sentence 18	La	ART	O
Sentence 18	causa	NC	O
Sentence 18	penal	NC	O
Sentence 18	dentro	ADV	O
Sentence 18	de	PREP	O
Sentence 18	la	ART	O
Sentence 18	cual	REL	O
Sentence 18	se	SE	O
Sentence 18	dictó	VLfin	O
Sentence 18	el	ART	O
Sentence 18	auto	NC	O
Sentence 18	de	PREP	O
Sentence 18	formal	ADJ	O
Sentence 18	prisión	NC	O
Sentence 18	es	VSfin	O
Sentence 18	la	ART	O
Sentence 18	12	CARD	O
Sentence 18	2018	CARD	O
Sentence 18	,	CM	O
Sentence 18	donde	ADV	O
Sentence 18	se	SE	O
Sentence 18	detalló	VLfin	O
Sentence 18	que	CQUE	O
Sentence 18	Tenorio	ADJ	B-PER
Sentence 18	Vasconcelos	NP	E-PER
Sentence 18	omitió	VLfin	O
Sentence 18	señalar	VLinf	O
Sentence 18	la	PPC	O
Sentence 18	compra	VLfin	O
Sentence 18	de	PREP	O
Sentence 18	la	ART	O
Sentence 18	avioneta	NC	O
Sentence 18	en	PREP	O
Sentence 18	sus	PPO	O
Sentence 18	declaraciones	NC	O
Sentence 18	patrimoniales	ADJ	O
Sentence 18	realizadas	VLadj	O
Sentence 18	en	PREP	O
Sentence 18	fecha	NC	O
Sentence 18	26	CODE	B-DAT
Sentence 18	y	CC	I-DAT
Sentence 18	28	CODE	I-DAT
Sentence 18	de	PREP	I-DAT
Sentence 18	mayo	NC	I-DAT
Sentence 18	de	PREP	I-DAT
Sentence 18	2015	CARD	E-DAT
Sentence 18	,	CM	O
Sentence 18	ante	PREP	O
Sentence 18	la	ART	O
Sentence 18	Dirección	NC	B-ORG
Sentence 18	de	PREP	I-ORG
Sentence 18	Procedimientos	NC	I-ORG
Sentence 18	Jurídicos	ADJ	I-ORG
Sentence 18	de	PREP	I-ORG
Sentence 18	la	ART	I-ORG
Sentence 18	SCTG	NP	E-ORG
Sentence 18	.	FS	O

Sentence 19	Más	NP	O
Sentence 19	noticias	VLfin	O
Sentence 19	Tras	PREP	O
Sentence 19	aparatosa	NC	O
Sentence 19	volcadura	NC	O
Sentence 19	Hay	VHfin	O
Sentence 19	desconfianza	NC	O
Sentence 19	Viven	VLadj	O
Sentence 19	de	PREP	O
Sentence 19	milagro	NC	O
Sentence 19	Se	SE	O
Sentence 19	concentraba	VLfin	O
Sentence 19	en	PREP	O
Sentence 19	el	ART	O
Sentence 19	municipio	NC	O
Sentence 19	de	PREP	O
Sentence 19	El	ART	B-GPE
Sentence 19	Llano	NC	E-GPE
Sentence 19	La	ART	O
Sentence 19	sanción	NP	O
Sentence 19	asciende	VLfin	O
Sentence 19	más	NC	O
Sentence 19	de	PREP	O
Sentence 19	322	CARD	B-MNY
Sentence 19	mil	CARD	I-MNY
Sentence 19	400	CARD	I-MNY
Sentence 19	pesos	NC	E-MNY
Sentence 19	por	PREP	O
Sentence 19	un	ART	O
Sentence 19	spot	NC	O
Sentence 19	donde	ADV	O
Sentence 19	Meade	VLfin	S-PER
Sentence 19	la	ART	O
Sentence 19	acusa	VLfin	O
Sentence 19	durante	PREP	O
Sentence 19	un	ART	O
Sentence 19	debate	VLfin	B-EVT
Sentence 19	presidencial	ADJ	E-EVT
Sentence 19	También	NP	O
Sentence 19	Distrito	NC	O
Sentence 19	XIII	NP	O
Sentence 19	Hay	VHfin	O
Sentence 19	desconfianza	NC	O
Sentence 19	Viven	VLadj	O
Sentence 19	de	PREP	O
Sentence 19	milagro	NC	O
Sentence 19	Justa	ADJ	O
Sentence 19	Internacional	ADJ	O

Sentence 20	“	NC	O
Sentence 20	Sí	NP	O
Sentence 20	detectamos	VLfin	O
Sentence 20	una	ART	O
Sentence 20	persona	NC	O
Sentence 20	que	CQUE	O
Sentence 20	quizo	VLfin	O
Sentence 20	instalar	VLinf	O
Sentence 20	cámaras	NC	O
Sentence 20	incluso	ADV	O
Sentence 20	dentro	ADV	O
Sentence 20	de	PREP	O
Sentence 20	la	ART	O
Sentence 20	misma	ADJ	O
Sentence 20	estructura	NC	O
Sentence 20	de	PREP	O
Sentence 20	las	ART	O
Sentence 20	oficinas	NC	O
Sentence 20	de	PREP	O
Sentence 20	la	ART	O
Sentence 20	asamblea	NC	O
Sentence 20	,	CM	O
Sentence 20	no	NEG	O
Sentence 20	se	SE	O
Sentence 20	le	PPC	O
Sentence 20	permitió	VLfin	O
Sentence 20	,	CM	O
Sentence 20	obviamente	ADV	O
Sentence 20	,	CM	O
Sentence 20	porque	CSUBX	O
Sentence 20	incluso	ADV	O
Sentence 20	quería	VLfin	O
Sentence 20	instalar	VLinf	O
Sentence 20	cámaras	NC	O
Sentence 20	en	PREP	O
Sentence 20	los	ART	O
Sentence 20	pilares	NC	O
Sentence 20	”	NC	O
Sentence 20	,	CM	O
Sentence 20	relató	NC	O
Sentence 20	Villegas	NP	S-PER
Sentence 20	.	FS	O

Sentence 21	Oaxaca	NP	S-GPE
Sentence 21	,	CM	O
Sentence 21	Mexico	NP	S-GPE
Sentence 21	12	CARD	B-DAT
Sentence 21	julio	NC	E-DAT
Sentence 21	,	CM	O
Sentence 21	2018	CODE	S-DAT
Sentence 21	Firman	VLfin	O
Sentence 21	acuerdo	NC	O
Sentence 21	para	CSUBI	O
Sentence 21	impulsar	VLinf	O
Sentence 21	el	ART	O
Sentence 21	desarrollo	NC	O
Sentence 21	laboral	ADJ	O
Sentence 21	de	PREP	O
Sentence 21	los	ART	O
Sentence 21	jóvenes	NC	O
Sentence 21	11	CARD	B-DAT
Sentence 21	julio	NC	E-DAT
Sentence 21	,	CM	O
Sentence 21	2018	CARD	S-DAT
Sentence 21	Águeda	NC	B-PER
Sentence 21	Robles	ADJ	E-PER
Sentence 21	La	ART	O
Sentence 21	Secretaría	NP	B-ORG
Sentence 21	de	PREP	I-ORG
Sentence 21	Turismo	NC	E-ORG
Sentence 21	(	LP	O
Sentence 21	Sectur	NP	S-ORG
Sentence 21	)	RP	O
Sentence 21	Oaxaca	NP	S-GPE
Sentence 21	,	CM	O
Sentence 21	el	ART	O
Sentence 21	Colegio	NC	B-FAC
Sentence 21	de	PREP	I-FAC
Sentence 21	Estudios	NC	I-FAC
Sentence 21	Científicos	NC	I-FAC
Sentence 21	y	CC	I-FAC
Sentence 21	Tecnológicos	NC	I-FAC
Sentence 21	del	PDEL	I-FAC
Sentence 21	Estado	NC	I-FAC
Sentence 21	de	PREP	I-FAC
Sentence 21	Oaxaca	NP	E-FAC
Sentence 21	(	LP	O
Sentence 21	Cecyteo	NC	S-FAC
Sentence 21	)	RP	O
Sentence 21	y	CC	O
Sentence 21	cámaras	VLfin	O
Sentence 21	empresariales	ADJ	O
Sentence 21	de	PREP	O
Sentence 21	hoteles	NC	O
Sentence 21	y	CC	O
Sentence 21	restaurantes	NC	O
Sentence 21	firmaron	VLfin	O
Sentence 21	un	ART	O
Sentence 21	convenio	NC	O
Sentence 21	de	PREP	O
Sentence 21	colaboración	NC	O
Sentence 21	para	CSUBI	O
Sentence 21	establecer	VLinf	O
Sentence 21	lineamientos	NC	O
Sentence 21	y	CC	O
Sentence 21	bases	NC	O
Sentence 21	de	PREP	O
Sentence 21	organización	NC	O
Sentence 21	,	CM	O
Sentence 21	operación	NP	O
Sentence 21	y	CC	O
Sentence 21	cooperación	NP	O
Sentence 21	,	CM	O
Sentence 21	que	CQUE	O
Sentence 21	permita	VLfin	O
Sentence 21	la	ART	O
Sentence 21	realización	NC	O
Sentence 21	de	PREP	O
Sentence 21	acciones	NC	O
Sentence 21	para	PREP	O
Sentence 21	el	ART	O
Sentence 21	incremento	NC	O
Sentence 21	de	PREP	O
Sentence 21	la	ART	O
Sentence 21	competitividad	NC	O
Sentence 21	de	PREP	O
Sentence 21	los	ART	O
Sentence 21	sectores	NC	O
Sentence 21	público	ADJ	O
Sentence 21	,	CM	O
Sentence 21	educativo	ADJ	O
Sentence 21	y	CC	O
Sentence 21	privado	ADJ	O
Sentence 21	.	FS	O

Sentence 22	En	PREP	O
Sentence 22	tanto	ADV	O
Sentence 22	,	CM	O
Sentence 22	Edgar	NP	B-PER
Sentence 22	Tinoco	NP	E-PER
Sentence 22	,	CM	O
Sentence 22	del	PDEL	O
Sentence 22	Partido	NC	B-PEX
Sentence 22	Revolucionario	NC	I-PEX
Sentence 22	Institucional	NC	E-PEX
Sentence 22	(	LP	O
Sentence 22	PRI	NP	S-PEX
Sentence 22	)	RP	O
Sentence 22	,	CM	O
Sentence 22	cosechó	VLfin	O
Sentence 22	14	CARD	O
Sentence 22	mil	CARD	O
Sentence 22	233	CARD	O
Sentence 22	sufragios	NC	O
Sentence 22	.	FS	O

Sentence 23	Para	PREP	O
Sentence 23	estas	DM	O
Sentence 23	negociaciones	NC	O
Sentence 23	se	SE	O
Sentence 23	requerirá	VLfin	O
